	0.55	0.633	0.694	0.86	1.06
0	1.3474E+02	1.2061E+02	1.1324E+02	1.0214E+02	9.1220E+01
0.02	1.2436E+02	1.1300E+02	1.0700E+02	9.8089E+01	8.8628E+01
0.04	1.1000E+02	1.0177E+02	9.7415E+01	9.1268E+01	8.3828E+01
0.07	9.1555E+01	8.6632E+01	8.4063E+01	8.1019E+01	7.6284E+01
0.1	7.7226E+01	7.4400E+01	7.3004E+01	7.2076E+01	6.9299E+01
0.13	6.6037E+01	6.4574E+01	6.3957E+01	6.4448E+01	6.3100E+01
0.16	5.7166E+01	5.6612E+01	5.6522E+01	5.7974E+01	5.7671E+01
0.2	4.7921E+01	4.8142E+01	4.8507E+01	5.0776E+01	5.1456E+01
0.25	3.9260E+01	4.0035E+01	4.0724E+01	4.3556E+01	4.5026E+01
0.3	3.2778E+01	3.3843E+01	3.4704E+01	3.7802E+01	3.9755E+01
0.35	2.7789E+01	2.9000E+01	2.9945E+01	3.3138E+01	3.5378E+01
0.4	2.3879E+01	2.5148E+01	2.6121E+01	2.9308E+01	3.1704E+01
0.45	2.0738E+01	2.2014E+01	2.2988E+01	2.6111E+01	2.8581E+01
0.5	1.8189E+01	1.9442E+01	2.0396E+01	2.3419E+01	2.5909E+01
0.55	1.6081E+01	1.7296E+01	1.8219E+01	2.1122E+01	2.3598E+01
0.6	1.4332E+01	1.5496E+01	1.6381E+01	1.9160E+01	2.1591E+01
0.65	1.2851E+01	1.3961E+01	1.4809E+01	1.7457E+01	1.9831E+01
0.7	1.1592E+01	1.2648E+01	1.3453E+01	1.5972E+01	1.8279E+01
0.8	9.5943E+00	1.0535E+01	1.1259E+01	1.3530E+01	1.5683E+01
0.9	8.0793E+00	8.9168E+00	9.5656E+00	1.1609E+01	1.3605E+01
1	6.9193E+00	7.6611E+00	8.2413E+00	1.0080E+01	1.1923E+01
1.1	6.0036E+00	6.6623E+00	7.1811E+00	8.8367E+00	1.0533E+01
